Framework,Votes
Laravel,2112
Symfony2,1005
Nette,703
"Yii 2",620
CodeIgniter,482
PHPixie,420
"Zend Framework 2",346
"No Framework",306
"Yii 1",293
Phalcon,231
CakePHP,229
"I use a CMS for all my work",176
Slim,158
Silex,142
"Zend Framework 1",79
"Company Internal Framework",65
"Simple MVC Framework",53
FuelPHP,27
Kohana,22
"Typo 3",20
"TYPO3 Flow",16
"We use a CMS for everything",14
Drupal,9
Aura,9
"Nette Framework",9
"Cygnite PHP Framework",6
SilverStripe,6
"Agile Toolkit",6
"Fat-Free Framework",4
WordPress,4
"Ruby on Rails",4
"Fat Free Framework",4
"My own",3
Magento,3
"Fat Free",3
Flight,3
Prado,3
Django,3
ruby,2
PhalconPHP,2
Joomla,2
"FatFree Framework",2
Bitrix,2
"Cygnite Framework",2
yolophp,2
Wordpress,2
silverstripe,2
"fat free framework",2
"own framework",2
Webiny,2
drupal,2
F3,2
Spring,2
Agavi,2
Flow,2
"custom made",1
phreeze,1
"Personal Framework",1
"i use nodejs :)",1
huge,1
"Composer with components",1
Yolo,1
codeigniter,1
Arhitect,1
fatfree,1
Grav,1
"Fat-Free Framework (F3)",1
Drupal7,1
Flask,1
nette,1
dispatch,1
Custom,1
"Adobe Dreamweaver",1
Concrete5,1
Symfony1,1
Zephyros,1
"PHP Junkie",1
Self-made,1
Twilight,1
Silverstripe,1
REST-in-PHP,1
Statamic,1
Respect,1
phalcon,1
"Meteor JS",1
"fat free",1
"ZF1, ZF2, Slim, CakePHP",1
"Custom built CMS by me",1
bootstrap,1
Jelix,1
"ClanCats Framework",1
"F3 php",1
"Usually not PHP",1
"No PHP as hobby",1
"my own",1
"Not using PHP for personal projects",1
own,1
ThinkPHP,1
wordpress,1
Sinatra,1
Li3,1
"Multiple frameworks, selection depends on type of project",1
"A Custom Built Framework",1
"I don't do personal projects in PHP",1
BulletPHP,1
"TYPO3 CMS or TYPO3 Neos",1
"Fat free",1
"Once again really depends on the project I'm doing",1
Autarky,1
"Don't use PHP anymore",1
"PPI Framework",1
Bluz,1
Phly/Conduit,1
Contao,1
NodeJS,1
"ruby on rails",1
"Depends on what I'm doing - right tool for the job",1
"self developed framework",1
"Experimentally writing my own since years",1
TYPO3.Flow,1
Titon,1
"RS Framework (my)",1
Ice,1
King23,1
"Various, I try to vary the use of frameworks",1
"Don't heve a prefered",1
"PainlessMVC on Github",1
"Mouf 2",1
"SilverStripe Framework",1
"Ruby on rails",1
"Typo3 Flow",1
"SilverStripe / Sapphire",1
"Beats, Symfony2 extension",1
FatFreeFramework,1
"my own framework",1
WAMP,1
SpartanPHP,1
"Myself builded CMS",1
"Fat Free f3",1
"Fat Free Framework (F3)",1
"simplemvc framework",1
Scabbia,1
"PHP FatFree",1
AOL/ATC,1
mine,1
custom,1
"fat free php F3",1
Agiletoolkit,1
FatFreePhp,1
AgileToolkit,1
Tao,1
Commercial,1
"Agile Toolkit (ATK4)",1
Ego,1
"Own Framework",1
"mini and the mini2",1
"fatfree framework F3",1
ATK,1
