Framework,Votes
Laravel,1659
Symfony2,1067
Nette,671
CodeIgniter,597
"Yii 2",504
PHPixie,418
"Yii 1",407
"Zend Framework 2",390
"Company Internal Framework",378
"Zend Framework 1",274
CakePHP,255
"No Framework",243
"We use a CMS for everything",203
Phalcon,169
Slim,79
Silex,65
"Simple MVC Framework",42
"Typo 3",35
Kohana,35
FuelPHP,25
"TYPO3 Flow",17
Drupal,11
Aura,10
Magento,9
SilverStripe,8
"Nette Framework",8
Prado,7
Silverstripe,7
"Agile Toolkit",5
Wordpress,5
"Symfony 1",4
"SilverStripe Framework",3
"Ruby on Rails",3
"Fat-Free Framework",3
Agavi,3
Spring,3
Bitrix,2
"fat free framework",2
silverstripe,2
Agiletoolkit,2
PhalconPHP,2
"Drupal 7",2
"Symfony 1.4",2
WordPress,2
"Cygnite PHP Framework",2
"symfony 1",2
drupal,2
Jelix,1
"Zend and Phalcon",1
"Twilight (own build)",1
Grav,1
.Net,1
"ClanCats Framework",1
"F3 php",1
F3,1
"FatFree Framework",1
SugarCRM,1
bootstrap,1
Flight,1
cubex,1
Elgg,1
"Fat free",1
Custom,1
"Adobe Dreamweaver",1
"ZF1, ZF2, Slim, CakePHP",1
AOL/ATC,1
"Spring - Java",1
"PHP FatFree",1
WYF,1
"cygnite PHP framework",1
Propietary,1
"Own framework",1
"laravel 5",1
BulletPHP,1
"Bitrix Framework",1
flow,1
Horde,1
"Fat Free Framework",1
"Laravel 3",1
REST-in-PHP,1
yolophp,1
fatfree,1
phreeze,1
Lithium,1
Yolo,1
"Composer with components",1
".Net MVC",1
Joomla,1
"Home grown",1
"CMS + Plugin System w/ Composer etc",1
"Not working",1
TYPO3.Flow,1
Flow,1
"Joomla Framework",1
Seagull,1
TOBA,1
joomla,1
"PHPLeague Route",1
Ice,1
flask,1
"simplemvc framework",1
Typo3,1
Bootstrap,1
"Fat Free",1
Statamic,1
Miolo,1
"PainlessMVC on Github",1
mine,1
lithium,1
"nodjs (express)",1
"fatfree framework",1
codecharge,1
"ASP.NET MVC",1
"Typo3 Flow",1
"Mouf 2",1
Fat-Free,1
"Agile Toolkit (ATK4)",1
Commercial,1
"fat free php F3",1
"own framework",1
Webspell,1
"Fat Free F3",1
FatFreeFramework,1
WAMP,1
"Component Based",1
FatFreePhp,1
AgileToolkit,1
Webiny,1
"Don't use PHP anymore",1
"PPI Framework",1
"home made",1
"Depends on the project",1
FatFree,1
Sifo,1
"SilverStripe / Sapphire",1
Restler,1
Joomla!,1
"Fat Free Framework (F3)",1
