id,start-date,submit-date,network,age-group,country,years-php,years-programming,education,numframeworks,fw-work-choice,fw-work-other,fw-work-reason-easy,fw-work-reason-community,fw-work-reason-tutorials,fw-work-reason-tested,fw-work-reason-features,fw-work-reason-forced,fw-work-reason-other,fw-work-reason-other-why,fw-personal-choice,fw-personal-other,fw-personal-reason-easy,fw-personal-reason-community,fw-personal-reason-tutorials,fw-personal-reason-tested,fw-personal-reason-features,fw-personal-reason-other,fw-personal-reason-other-why,contributes,laravel,yii1,yii2,zf1,zf2,symfony2,phalcon,aura,slim,silex,webiny,cake,fuel,kohana,ci,prado,phpixie,flight,simple,typo,nette,agavi,other
76,"2015-02-27 17:16:59","2015-02-27 17:19:23",7387618cfa96eeb8ac02785f782af164382b674e,4,Slovenia,10,19,1,2,CodeIgniter,,1,1,1,1,1,,,,CodeIgniter,,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
70,"2015-02-27 17:13:25","2015-02-27 17:16:19",c5c0af5896c05cf9a85e62d61aea307a44188c54,3,France,7,13,5,3,Symfony2,,,,,1,,,,,Symfony2,,,,1,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
71,"2015-02-27 17:13:54","2015-02-28 01:10:51",85319c6de78c6913234380e075846357252f228f,4,"United States",15,15,6,2,"Company Internal Framework",,,,,,,,1,"We use Kohana",Laravel,,1,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
72,"2015-02-27 17:14:18","2015-02-27 17:32:45",c89d5133d1bf5678d696b7b91f1a4a2c22708050,4,Turkey,10,20,1,4,Prado,,1,,,,1,1,,,Laravel,,1,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
68,"2015-02-27 17:11:02","2015-02-27 17:19:22",e7a165d851e735c7c2c33f3c0c542dee47f57fbb,3,Canada,8,11,5,4,FuelPHP,,1,,,,1,,1,,Slim,,1,,,,,1,"It provides the bare minimum functionality needed to build web-applications (not much bloat). Makes it easier to build component (i.e. composer pacakages) based web-apps as opposed to framework dependent web-apps that would be hard to rewrite.",No,,,,,,,,,,,,,,,,,,,,,,,
69,"2015-02-27 17:13:08","2015-02-27 17:14:53",4e90b7ce6acc73be64ddfc57c23dc2feed72e18d,3,Portugal,10,15,2,3,Laravel,,1,1,1,,,,,,Laravel,,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
66,"2015-02-27 17:05:40","2015-02-27 17:49:13",84a8b1cbb9898f7a96eb9076f94de10ba67032af,3,Brazil,6,15,3,1,Kohana,,1,,,,,,,,Laravel,,,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
87,"2015-02-27 17:24:02","2015-02-27 17:26:22",295e365e332b16e291e73f72ac503f6e606d3a61,2,France,3,5,5,3,"Zend Framework 1",,,,,,,1,,,Laravel,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
99,"2015-02-27 17:25:14","2015-02-27 17:27:49",c28c682dd9d52bb53655b2d48c65a0be43a97912,3,"United States",14,16,5,2,Symfony2,,,1,,1,,,1,"The main reason is backwards compatibility and long term support.",Symfony2,,1,1,,1,,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
101,"2015-02-27 17:25:18","2015-02-27 17:35:31",e196dfdef1774f1d81b84edf83131dac7e2966af,3,Portugal,5,15,5,1,"No Framework",,1,,,,,,1,"All the others do too much stuff. I needed something simple.","No Framework",,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
104,"2015-02-27 17:25:54","2015-02-27 17:32:25",8a02f35463578807486c24706faba941f9fa8ce0,2,Turkey,3,7,5,2,Laravel,,1,1,,,,,,,Laravel,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
113,"2015-02-27 17:26:44","2015-02-27 17:29:35",9c17fa9281d434fb7fbbf6ecb68a161b018d1526,3,"United Kingdom",10,10,3,2,Aura,,,1,,,,,,,Aura,,1,,,,1,,,"Yes, I help with code (including tests)",,,,,,,,1,,,,,,,,,,,,,,,
124,"2015-02-27 17:28:10","2015-02-27 17:31:03",c01a6b1862d3c5b47bcf4eae9f17aac9c45a14ae,5,Germany,10,35,5,1,,Drupal,,1,,,1,,,,,Drupal,,1,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
134,"2015-02-27 17:29:10","2015-02-27 17:32:57",a3750eb2fbace05cbd65f5b08b92cb0f26ea2f51,2,France,4,4,4,3,Laravel,,,1,,1,1,,,,Laravel,,,1,,1,1,,,"Yes, I help with documentation (official docs only)",1,,,,,,,,,,,,,,,,,,,,,,
136,"2015-02-27 17:29:19","2015-02-27 17:31:45",34b28941bae31a0c672f27bb0257f13e92c83f87,3,"United States",16,19,5,6,CakePHP,,1,1,,,,,,,CakePHP,,1,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
137,"2015-02-27 17:29:25","2015-02-27 17:32:07",a3b1504f03c5b30c8befa8cf1f13d82ecf4030b6,5,"United States",5,13,1,4,Laravel,,1,1,,,1,,,,Laravel,,1,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
141,"2015-02-27 17:30:04","2015-02-27 17:36:01",a13b2b50df8cb47841189ed183270429672e0f17,3,France,8,10,3,3,Silex,,,,,,,,1,"Has a real MVC system based on Symfony using differents ""language"" according to the job and easily understood by people in these occupations (twig for template, doctrine for bdd that your db admin understand even if he's not a developer, etc.)",Silex,,,,,,,1,"Has a real MVC system based on Symfony using differents ""language"" according to the job and easily understood by people in these occupations (twig for template, doctrine for bdd that your db admin understand even if he's not a developer, etc.)",No,,,,,,,,,,,,,,,,,,,,,,,
142,"2015-02-27 17:30:06","2015-02-27 17:35:02",7d4a263a64213e6d5403c8fdaf92adaa9f7d4f80,4,"United States",15,22,6,4,"No Framework",,,,,,,1,,,,"Multiple frameworks, selection depends on type of project",1,1,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
143,"2015-02-27 17:30:14","2015-02-27 17:35:25",29205da10312527995b11a47c89c8e1a55bedb40,3,Brazil,8,12,5,4,Laravel,,1,1,1,,1,,,,Laravel,,1,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
145,"2015-02-27 17:30:10","2015-02-27 17:32:10",cacc755ac0dafd9e101be7618e3a64d0472d3cbe,3,"United Kingdom",2,4,5,3,Symfony2,,,1,1,1,1,,,,Symfony2,,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
153,"2015-02-27 17:30:39","2015-02-27 17:39:15",22f3ef3b61437eda3fb6e61a1fe16d542d03fb27,3,Poland,7,7,5,4,"Yii 2",,1,1,,,,1,,,"Yii 1",,1,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
157,"2015-02-27 17:30:59","2015-02-27 17:37:14",432e85f36d22837bbbca586b8c98e542adc38d6b,3,Slovenia,10,14,1,7,Symfony2,,1,1,1,1,1,,,,Symfony2,,1,1,1,1,1,,,"Yes, I help with both code and documentation",,,1,,1,1,,,,1,,,,,,,,,,,,,
162,"2015-02-27 17:31:33","2015-02-27 17:35:10",075ed8c51c547f7ef8221bd936302009ae7ad221,4,"United States",8,12,1,6,Laravel,,1,1,1,,1,,,,Laravel,,1,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
164,"2015-02-27 17:31:38","2015-02-27 17:34:17",a30134e54c6f0b8cd185b237fb39ebecef8c230c,3,"Russian Federation",8,10,6,7,"Yii 1",,,,,1,,,,,"Yii 2",,,,,1,,,,"Yes, I help with both code and documentation",,1,1,,,,,,,,,,,,,,,,,,,,
165,"2015-02-27 17:32:05","2015-02-27 17:41:36",7a6a5ec26606dea0630b2956cb3047cae65d02a8,3,France,8,12,5,6,"Zend Framework 1",,,,,,1,,1,"framework choice depends on project. answered ZF 1 as built a internal CMS on top of it + embeded into Magento which I use too",Slim,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
167,"2015-02-27 17:32:16","2015-02-27 17:35:51",b1cf1c0be117159da19fe0a041834cf58ba57c81,2,Brazil,4,6,5,5,Laravel,,1,1,,1,1,,,,Laravel,,1,1,,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
172,"2015-02-27 17:32:50","2015-02-27 17:35:36",9c2875e7db82443f2734b5591ea9fb40b6f7069e,4,"United States",6,15,5,3,"We use a CMS for everything",,,1,,,,1,,,Laravel,,,1,1,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
176,"2015-02-27 17:33:19","2015-02-27 17:40:02",dcbcf2aa55dd4e76a98cf9fb6a5aeed38246a6e6,3,Ghana,5,7,5,3,"Yii 1",,1,1,,1,1,,,,"Yii 2",,1,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
